dish_id,H_mean,H_bert,E_composite,E_carbon,E_water,E_energy,log_H,log_E,log_DEI,Z_H,Z_E,DEI_z,cuisine,cook_method,source,DEI_tier,is_pareto,rank_DEI,rank_invE,rank_shift,meal_role,NDI,protein_g,category
ackee_saltfish,7.7129,7.34,0.1479771222253908,1.1,273.725,0.5,2.042894251743997,-1.9106975967248436,3.95359184846884,0.7915422730088895,-0.6839541509852561,1.4754964239941455,Caribbean,saute,expanded,A,False,57,67,10,Light Main,8.44594462551326,25.31,Protein Main
adobo,3.6628,7.1536,0.3835664436260561,2.0755,992.99,1.2,1.29822788225144,-0.9582424173121228,2.2564702995635626,-1.185910281716938,0.7155792248549389,-1.9014895065718769,Filipino,braise,expanded,E,False,304,276,-28,Light Main,7.180923379545444,50.562,Other
aji_de_gallina,7.0785,7.5229,0.2064411581111852,1.872,1053.4300000000003,0.4,1.9570620208524148,-1.577739855800735,3.53480187665315,0.4817978467680397,-0.3366448204008984,0.8184426671689382,South American,simmer,expanded,B,False,107,137,30,Full Main,6.173775906581849,49.900000000000006,Other
al_pastor,7.9826,7.3924,0.26940861804542,1.831,1288.7500000000002,0.6,2.0772641729320283,-1.3115260257424055,3.388790198674433,0.9232227139880144,0.0374173877072869,0.8858053262807276,Mexican,grill,expanded,C,False,137,204,67,Full Main,6.0031756564603285,59.57,Other
aloo_gobi,8.5603,7.3359,0.1261275381026411,0.4946,164.88,0.5,2.1471352362685003,-2.070461676803084,4.217596913071585,1.2052834880096708,-0.8137529977505148,2.0190364857601857,Indian,stir_fry,expanded,A,False,35,49,14,Light Main,9.512193731040036,5.971,Other
anticucho,6.1642,7.3393,0.6438722352678695,12.3135,3126.545,0.6,1.8187583633948297,-0.4402549650013634,2.2590133283961933,0.0353928516356174,2.2619423671284697,-2.2265495154928523,South American,grill,expanded,E,False,303,320,17,Full Main,9.330699437321211,53.454,Protein Main
arancini,5.9359,7.4578,0.3167546374612211,1.976,747.29,1.0,1.781018659361992,-1.149627819126513,2.930646478488505,-0.0760741289929858,0.3186794329971056,-0.3947535619900915,Italian,deep_fry,expanded,D,False,224,255,31,Heavy Main,2.622543929164137,16.52,Other
arepa,8.5603,7.6274,0.1550682589430726,1.1205,354.4699999999999,0.5,2.1471352362685003,-1.8638898787239384,4.011025114992439,1.2052834880096708,-0.6418288014573655,1.847112289467036,South American,pan_fry,expanded,A,False,49,77,28,Light Main,4.932989217979075,11.43,Wrapped/Stuffed
arroz_con_pollo,7.2606,7.2726,0.2455558063386589,2.3725,1398.8249999999998,0.4,1.9824624700499247,-1.4042310405184233,3.386693510568348,0.5707077774402635,-0.1042817601690718,0.6749895376093353,Caribbean,simmer,expanded,C,False,140,182,42,Full Main,5.072461861432285,42.56,Noodle/Rice
asado,4.9488,7.5207,0.7671063086509742,15.2865,3854.4,0.6,1.5991451229486682,-0.2651298840238828,1.864275006972551,-0.5580235664809154,2.9940222326970614,-3.552045799177977,South American,grill,expanded,E,False,327,324,-3,Full Main,7.790044444444445,65.0,Other
baba_ganoush,7.3074,7.495,0.2283327510889237,0.6891,485.7,0.8,1.9888875333389828,-1.4769512793667894,3.465838812705772,0.5935577760973755,-0.2065964173557198,0.8001541934530952,Mediterranean,unknown,original,B,False,115,159,44,Light Main,5.739597547364537,6.065,Salad/Cold/Side
bacalhau,6.7438,7.5148,0.2658607847000939,1.7759999999999998,720.66,0.8,1.9086235642692968,-1.3247824729932374,3.233406037262534,0.3183812965429258,0.0163412576467983,0.3020400388961274,Portuguese,bake,expanded,C,False,172,200,28,Full Main,7.39875087130718,41.510000000000005,Other
bak_kut_teh,4.3571,6.8786,0.2194583776857819,1.6685,1263.8900000000003,0.4,1.4718066984441045,-1.516592687747081,2.988399386191185,-0.8469198101863233,-0.2593151980437582,-0.5876046121425651,Indonesian,simmer,expanded,D,False,215,147,-68,Full Main,6.223887922001129,56.290000000000006,Other
baklava,7.628,7.48,0.28131109410514,1.2435,987.8,0.8,2.0318256877381726,-1.26829412556817,3.3001198133063427,0.7500900318552826,0.108124805181388,0.6419652266738944,Mediterranean,unknown,original,C,False,155,221,66,Heavy Main,1.445982850941529,15.54,Bread/Pastry
banh_mi,6.8396,7.249,0.2565416685710571,1.1665,706.3,0.8,1.9227292503923008,-1.3604641769955543,3.283193427387855,0.3651554390931674,-0.0390195455440072,0.4041749846371746,Vietnamese,unknown,original,C,False,161,191,30,Full Main,4.756600278276457,32.015,Wrapped/Stuffed
banh_xeo,5.2167,7.1571,0.1938191426312755,1.5539000000000005,712.77,0.5,1.651865018073996,-1.6408298092162388,3.2926948272902345,-0.4272219716039867,-0.4116267076506291,-0.0155952639533576,Vietnamese,pan_fry,expanded,C,False,157,122,-35,Full Main,4.431735724987822,27.588,Other
beef_bourguignon,8.9939,7.344,0.8163411367437777,13.068,3390.9,1.2,2.196546569763244,-0.2029229516456316,2.399469521408876,1.4169877490721432,3.286504866289972,-1.8695171172178284,French,unknown,original,E,False,294,330,36,Heavy Main,5.942043306127021,66.185,Protein Main
beef_tartare,4.3571,7.6015,0.4750862509475642,11.0205,3030.125,0.0,1.4718066984441045,-0.7442589104890793,2.216065608933184,-0.8469198101863233,1.259258472010123,-2.1061782821964465,French,raw,expanded,E,False,310,303,-7,Full Main,7.669839664614652,51.155,Protein Main
bibimbap,5.4794,7.176,0.4103771234250521,6.316,2058.8,0.5,1.7009956059144655,-0.890678728820914,2.59167433473538,-0.2989592654667372,0.8748497766124409,-1.1738090420791782,Korean,unknown,original,E,False,274,291,17,Full Main,7.036463790862726,36.14,Noodle/Rice
biltong,4.3571,7.9368,0.5032713534949004,12.0195,3114.25,0.0,1.4718066984441045,-0.6866257841753288,2.158432482619433,-0.8469198101863233,1.426693869684154,-2.2736136798704774,African,raw,expanded,E,False,318,305,-13,Full Main,9.04796252508107,52.375,Other
birria,7.5688,7.432,0.7940919484839885,12.760500000000002,3216.055,1.2,2.0240345344080977,-0.230556020303777,2.2545905547118745,0.7211857600497054,3.1543321456853315,-2.4331463856356264,Mexican,braise,expanded,E,False,305,328,23,Heavy Main,8.408615453875916,58.74399999999999,Protein Main
biryani,7.8317,6.789,0.3345396378994281,2.5269,1305.9,0.8,2.05817960010234,-1.0949999074823478,3.153179507584688,0.8495461157538654,0.4243323613837522,0.4252137543701132,Indian,unknown,original,C,False,183,264,81,Heavy Main,4.739492442608156,45.902,Noodle/Rice
blini,4.6633,7.5421,0.1563061924550484,0.918,421.755,0.5,1.5397233520209026,-1.8559384233053005,3.395661775326203,-0.6974183232459892,-0.6344747785467317,-0.0629435446992574,Russian,pan_fry,expanded,C,False,135,80,-55,Full Main,3.3829038239757963,15.155,Other
boat_noodles,4.0257,7.3491,0.2884333857069896,4.533500000000001,1361.3000000000002,0.4,1.3926988087928849,-1.2432911184578073,2.635989927250692,-1.0087251425574104,0.1504352322839075,-1.159160374841318,Thai,simmer,expanded,E,False,269,232,-37,Heavy Main,3.6487336473489904,22.97,Other
borek,4.6633,7.3382,0.2701911221855115,2.171,671.2499999999999,0.8,1.5397233520209026,-1.3086257104521095,2.8483490624730123,-0.6974183232459892,0.0420659034136872,-0.7394842266596765,Turkish,bake,expanded,D,False,239,206,-33,Heavy Main,4.793244732846655,28.12,Other
borscht,7.8508,7.5279,0.2299651404148642,3.591,895.17,0.4,2.060615437429787,-1.4698275449594704,3.5304429823892574,0.8588716493938404,-0.1968991045469883,1.0557707539408288,Eastern European,simmer,expanded,B,False,108,161,53,Light Main,9.7294759392371,16.46,Soup/Stew
bossam,4.9488,7.4729,0.2477463793234811,2.013,1518.1900000000005,0.4,1.5991451229486682,-1.3953497201130118,2.99449484306168,-0.5580235664809154,-0.0912685217665612,-0.4667550447143541,Korean,boil,expanded,D,False,213,184,-29,Full Main,5.5193948848008025,69.2,Other
bouillabaisse,3.6628,7.2039,0.177158941750859,1.85,703.83,0.4,1.29822788225144,-1.730707973353995,3.028935855605435,-1.185910281716938,-0.5105976925905231,-0.6753125891264149,French,simmer,expanded,D,False,207,101,-106,Full Main,8.563801278086991,41.46,Other
bratwurst,3.2587,7.1491,0.228276205868912,1.497,875.9,0.6,1.181328342841382,-1.477198953966418,2.6585272968078,-1.3832112316600766,-0.2069323278383346,-1.176278903821742,German,grill,expanded,E,False,268,158,-110,Full Main,4.97407884736129,33.629999999999995,Other
brisket,8.5209,7.046,0.9792094431862688,15.7454,3882.1,1.5,2.142521969065184,-0.0210097234937495,2.1635316925589336,1.186046523328256,4.254034418892991,-3.0679878955647357,American,unknown,original,E,False,316,334,18,Full Main,7.781761490015912,65.85799999999999,Protein Main
brownie,3.8751,7.362,0.3645830754384144,2.5955,1653.7,0.8,1.3545714689239423,-1.0090008373475932,2.363572306271536,-1.0822552664411933,0.6028073164912158,-1.685062582932409,Other,unknown,original,E,False,298,268,-30,Heavy Main,2.336284025996903,15.31,Dessert
bruschetta,5.9191,7.304,0.2200736836601747,0.7575,367.7,0.8,1.7781844103116076,-1.51379286297681,3.291977273288418,-0.0842766926134875,-0.2556599336947767,0.1713832410812891,Italian,unknown,original,C,False,158,149,-9,Light Main,3.671071684635993,8.336,Salad/Cold/Side
budae_jjigae,8.2292,7.2623,0.1505586489631374,1.144,563.31,0.4,2.1076888046179385,-1.8934025765970093,4.001091381214948,1.0436246299889504,-0.668618426901414,1.7122430568903644,Korean,simmer,expanded,A,False,50,72,22,Full Main,6.321184922444453,23.87,Other
buffalo_wings,3.4398,6.761,0.386292331318037,2.6625,1365.4,1.0,1.235413330160255,-0.9511608611299428,2.1865741912901977,-1.2947895488224068,0.7317725343862787,-2.026562083208685,American,unknown,original,E,False,311,277,-34,Heavy Main,3.1903121831302403,62.02,Protein Main
bulgogi,8.7381,7.375,0.6615588732726678,12.4425,3274.3,0.6,2.167692774730181,-0.4131562997310227,2.580849074461204,1.2920939529933135,2.367010967211669,-1.074917014218356,Korean,unknown,original,E,False,275,322,47,Full Main,6.93971600973789,55.0,Other
bun_bo_hue,7.0751,6.883,0.4268114422342925,7.3015,2273.4,0.4,1.956581577705032,-0.8514129505552047,2.8079945282602363,0.4801378041305572,0.9724788947150124,-0.4923410905844551,Vietnamese,unknown,original,D,False,248,296,48,Heavy Main,4.863058728465313,47.42,Noodle/Rice
bun_cha,5.5335,7.232,0.2664993860833531,1.947,1162.3,0.6,1.710820526722703,-1.322383339006084,3.0332038657287868,-0.2725450576173835,0.0201349098565647,-0.2926799674739482,Vietnamese,unknown,original,D,False,205,201,-4,Heavy Main,2.811740554683765,39.245,Other
bun_rieu,4.6633,7.2622,0.1646911696881013,1.608,615.02,0.4,1.5397233520209026,-1.803683257758613,3.343406609779516,-0.6974183232459892,-0.58466328699207,-0.1127550362539191,Vietnamese,simmer,expanded,C,False,147,87,-60,Full Main,5.08570543658263,20.0,Other
burrito,2.4568,6.827,0.276301431930006,2.2195,1211.6,0.6,0.8988596901444755,-1.2862628645471723,2.185122554691648,-1.7747371701886665,0.0783645878077817,-1.853101757996448,Mexican,unknown,original,E,False,312,214,-98,Heavy Main,5.642069254196187,53.81000000000001,Wrapped/Stuffed
butter_chicken,9.4037,7.297,0.2453824918883798,2.5309,1290.8,0.4,2.2411032288503776,-1.404937094448642,3.64604032329902,1.6170717116722382,-0.1053113457047781,1.7223830573770162,Indian,unknown,original,B,False,84,181,97,Heavy Main,4.509626626214222,52.602,Protein Main
ca_phe_sua_da,9.6366,7.43,0.0363340634140795,0.513,336.3,0.0,2.2655683493147696,-3.314999591657493,5.580567940972262,1.730784632339788,-1.3471768558955082,3.077961488235296,Vietnamese,unknown,original,A,True,6,13,7,Side/Snack,3.0931680865977844,1.995,Beverage
caesar_salad,2.7919,6.747,0.0525168062162769,0.752,471.8,0.0,1.0267223676397843,-2.946622042206249,3.9733444098460335,-1.611125320829731,-1.2510422410935276,-0.3600830797362033,Other,unknown,original,A,False,52,21,-31,Light Main,6.166558767714838,13.96,Salad/Cold/Side
caldo_verde,4.9488,7.2615,0.1354072417849046,0.6995,494.2049999999999,0.4,1.5991451229486682,-1.9994684355552892,3.5986135585039576,-0.5580235664809154,-0.7586263267111786,0.2006027602302631,Portuguese,boil,expanded,B,False,93,54,-39,Full Main,6.194406524036606,13.240000000000002,Other
callaloo,7.9826,7.4256,0.1195534483647046,0.7745,282.495,0.4,2.0772641729320283,-2.1239917409542373,4.201255913886266,0.9232227139880144,-0.8528067967483188,1.7760295107363333,Caribbean,simmer,expanded,A,False,36,45,9,Light Main,19.20244086316788,15.3,Soup/Stew
cannoli,4.6633,7.345,0.2979839265015034,1.525,635.95,1.0,1.5397233520209026,-1.2107157318458523,2.750439083866755,-0.6974183232459892,0.2071708284466614,-0.9045891516926506,Italian,deep_fry,expanded,D,False,259,245,-14,Heavy Main,1.1975350042642692,7.439999999999999,Other
caprese,4.8561,7.136,0.1118488797934876,2.474,751.6,0.0,1.5802356466258871,-2.190606606353303,3.7708422529791914,-0.6032841407440412,-0.898576277290815,0.2952921365467738,Italian,unknown,original,B,False,71,42,-29,Full Main,7.866406619014502,23.640000000000004,Salad/Cold/Side
carnitas,7.4181,7.2454,0.4370581929843786,2.4255,1551.665,1.2,2.0039229596991017,-0.8276889280282033,2.831611887727305,0.6476068113824667,1.033350370482252,-0.3857435590997853,Mexican,braise,expanded,D,False,243,302,59,Heavy Main,4.8995367131210354,68.85999999999999,Protein Main
causa,5.2167,7.3292,0.0402119664414746,0.6519999999999999,429.95,0.0,1.651865018073996,-3.213590654979384,4.86545567305338,-0.4272219716039867,-1.3241399258562172,0.8969179542522305,South American,cold,expanded,A,False,21,16,-5,Full Main,5.148248720975993,19.21,Other
ceviche,9.6743,7.301,0.039418546557507,0.9145,270.8,0.0,2.2694728848771666,-3.2335188486245943,5.50299173350176,1.749191575702462,-1.328853287234679,3.0780448629371406,Mexican,unknown,original,A,True,7,15,8,Light Main,12.992279082724012,31.475,Protein Main
chana_masala,6.8396,7.131,0.1795333304373007,0.5939,986.9,0.4,1.9227292503923008,-1.7173944034036397,3.64012365379594,0.3651554390931674,-0.4964924852995651,0.8616479243927326,Indian,unknown,original,B,False,86,103,17,Heavy Main,6.162542119076322,44.892,Other
char_kway_teow,7.0959,7.1974,0.23130799903834,2.2105,998.15,0.5,1.9595171524615305,-1.4640051273840518,3.423522279845582,0.4902933590892738,-0.1889217673255233,0.6792151264147972,Indonesian,stir_fry,expanded,B,False,129,163,34,Heavy Main,2.51573861698748,28.885,Other
char_siu,5.4794,7.017,0.3230840935392318,1.941,1316.9,0.8,1.7009956059144655,-1.1298426381304052,2.8308382440448705,-0.2989592654667372,0.3562799701497437,-0.6552392356164809,Chinese,unknown,original,D,False,244,258,14,Full Main,4.968299984405637,56.105,Other
char_siu_bao,8.5603,7.0666,0.1231648026379331,0.7765000000000001,595.415,0.3,2.1471352362685003,-2.094231961574621,4.241367197843122,1.2052834880096708,-0.8313533165679895,2.03663680457766,Chinese,steam,expanded,A,False,34,48,14,Full Main,3.225476814878264,24.91,Other
cheesecake,6.6002,7.268,0.4162269009143125,5.2365,1604.2,0.8,1.8870999516035556,-0.8765247325262424,2.763624684129798,0.2482689075010184,0.9096007525428612,-0.6613318450418428,Other,unknown,original,D,False,255,293,38,Heavy Main,3.409996071134405,50.43000000000001,Dessert
chicken_salad,1.3336,6.953,0.0681619356522414,0.9585,609.1,0.0,0.2878820524544471,-2.6858689982105344,2.9737510506649816,-2.323137137959351,-1.1581013527510802,-1.165035785208271,Other,unknown,original,D,False,216,31,-185,Light Main,5.610295740399547,30.71,Protein Main
chicken_sandwich,2.0123,6.743,0.2305453291832126,1.5495,827.0,0.6,0.6992783464901856,-1.4673077799872063,2.166586126477392,-1.9917633326477735,-0.1934524561982279,-1.798310876449546,American,unknown,original,E,False,315,162,-153,Full Main,5.098766726245232,43.75000000000001,Protein Main
chilaquiles,3.6628,7.3308,0.1701742379834779,1.3735,472.44999999999993,0.5,1.29822788225144,-1.770932437498736,3.069160319750176,-1.185910281716938,-0.5520907703951057,-0.6338195113218323,Mexican,pan_fry,expanded,C,False,192,91,-101,Full Main,6.507292625874537,22.8,Other
chile_relleno,7.5825,6.786,0.3181617528849141,2.3685,612.2,1.0,2.025842960580599,-1.1451953686532157,3.1710383292338147,0.7278747553830902,0.3270384918347881,0.4008362635483021,Mexican,unknown,original,C,False,181,256,75,Full Main,7.394796016704144,23.89,Other
chili,2.798,7.0759,0.5128898796778169,9.469,2810.755,0.4,1.0289048762432895,-0.667694116351448,1.6965989925947376,-1.6081470090389534,1.483833337378832,-3.091980346417785,American,simmer,expanded,E,False,329,306,-23,Heavy Main,9.369607702941035,59.77,Soup/Stew
chimichurri,2.798,7.4868,0.0501501265330493,0.2895,644.09,0.0,1.0289048762432895,-2.992734241485665,4.021639117728954,-1.6081470090389534,-1.2651016525596646,-0.3430453564792888,South American,raw,expanded,A,False,47,20,-27,Light Main,1.682215172781211,1.87,Other
chole_bhature,8.3445,7.2896,0.2964050802571009,0.886,781.7199999999999,1.0,2.1216026392013205,-1.2160282458383296,3.3376308850396503,1.0999196053129885,0.1977915917256415,0.902128013587347,Indian,deep_fry,expanded,C,False,149,243,94,Heavy Main,4.171922741364426,33.57,Other
chow_fun,5.4249,7.171,0.372484261208624,5.834,1721.6,0.5,1.6909994660769063,-0.9875604938440836,2.67855995992099,-0.3255687724499123,0.6497448140330323,-0.9753135864829446,Chinese,unknown,original,D,False,264,274,10,Heavy Main,3.4655066277242867,27.855,Other
chow_mein,1.0,6.051,0.19426553805153,1.207,741.2,0.5,0.0,-1.6385293029641408,1.6385293029641408,-2.486016615566456,-0.4089748672117075,-2.0770417483547483,Chinese,unknown,original,E,False,330,124,-206,Heavy Main,3.664901893843579,41.04500000000001,Other
churrasco,2.798,7.0895,0.780599999224528,15.3504,4001.625000000001,0.6,1.0289048762432895,-0.247692425229053,1.2765973014723426,-1.6081470090389534,3.0741823613848616,-4.682329370423815,South American,grill,expanded,E,False,333,326,-7,Heavy Main,6.82893761883843,65.32,Protein Main
churro,9.4826,7.396,0.3234748223106578,1.554,885.8,1.0,2.2494585402674674,-1.1286339970942594,3.3780925373617268,1.6555944658185229,0.3586011193141479,1.2969933465043748,Mexican,unknown,original,C,False,143,259,116,Heavy Main,1.6484727309772629,13.435,Bread/Pastry
churros_mexican,5.9359,7.5436,0.2804111037345016,1.1325,524.0450000000001,1.0,1.781018659361992,-1.2714985249819888,3.052517184343981,-0.0760741289929858,0.1027783550360478,-0.1788524840290337,Mexican,deep_fry,expanded,C,False,197,220,23,Heavy Main,1.356437478880612,11.915,Bread/Pastry
churros_spanish,8.4772,7.323,0.3234748223106578,1.554,885.8,1.0,2.137380206600282,-1.1286339970942594,3.266014203694541,1.1647100929582608,0.3586011193141479,0.8061089736441129,Spanish,unknown,original,C,False,165,259,94,Heavy Main,1.6484727309772629,13.435,Bread/Pastry
clam_chowder,7.9892,6.858,0.1957745939328879,2.291,749.0,0.4,2.07809062960888,-1.6307913124993088,3.7088819421081887,0.9264451496960692,-0.4000102245894873,1.3264553742855565,American,unknown,original,B,False,76,129,53,Full Main,5.114757066498569,28.985000000000003,Soup/Stew
club_sandwich,4.8287,6.95,0.0745333152011155,1.1245,644.0,0.0,1.5745772802980966,-2.596509069645958,4.171086349944055,-0.6166621314108114,-1.1202517665483591,0.503589635137548,American,unknown,original,A,False,38,33,-5,Full Main,5.137354390140612,37.540000000000006,Other
cobb_salad,2.798,7.0838,0.0988467138988748,1.626,889.97,0.0,1.0289048762432895,-2.314184973227391,3.3430898494706804,-1.6081470090389534,-0.9758164723027708,-0.6323305367361826,American,cold,expanded,C,False,148,38,-110,Full Main,6.817678637419492,43.43,Salad/Cold/Side
coleslaw,2.6572,6.704,0.013196413963922,0.2035,134.3,0.0,0.9772729368089492,-4.327810155698477,5.3050830925074255,-1.6768923041441104,-1.4846275368154394,-0.192264767328671,American,unknown,original,A,False,14,5,-9,Light Main,5.497732075406327,2.61,Salad/Cold/Side
com_tam,8.6516,6.941,0.2925279261245002,2.3265,1381.5,0.6,2.1577442749370097,-1.2291951429376562,3.386939417874666,1.249860515304421,0.1747591105435972,1.075101404760824,Vietnamese,unknown,original,C,False,139,238,99,Full Main,5.248715093299843,44.03,Other
conch_fritters,5.7087,7.1416,0.2860612112475003,1.4340000000000002,514.78,1.0,1.7419913269939338,-1.2515494657215305,2.993540792715464,-0.18700403700358,0.1363431787492534,-0.3233472157528335,Caribbean,deep_fry,expanded,D,False,214,230,16,Heavy Main,3.812509755220314,29.2,Other
congee,2.4568,6.984,0.1429436030199488,0.9255,456.8,0.4,0.8988596901444755,-1.9453051109881232,2.8441648011325986,-1.7747371701886665,-0.7138560925676084,-1.0608810776210582,Chinese,unknown,original,D,False,241,61,-180,Light Main,4.1078533567901045,14.31,Other
coq_au_vin,8.3333,7.166,0.433244547442996,2.7775,1371.8,1.2,2.120259536192091,-0.836452935709711,2.956712471901802,1.0944512295659872,1.010695166133189,0.0837560634327978,French,unknown,original,D,False,220,298,78,Heavy Main,4.605528863622388,73.165,Other
coquito,4.3571,7.5858,0.0536235508357889,0.7460000000000001,568.41,0.0,1.4718066984441045,-2.9257669261403447,4.3975736245844494,-0.8469198101863233,-1.2444675541581025,0.3975477439717791,Caribbean,cold,expanded,A,False,29,23,-6,Full Main,3.268010457565969,9.283,Other
cornbread,3.9581,6.978,0.2367189718162237,1.1525,468.8,0.8,1.3757641121467097,-1.4408816143592993,2.816645726506009,-1.0417306961732384,-0.1567775387442462,-0.8849531574289923,American,unknown,original,D,False,246,173,-73,Full Main,3.041595641777332,12.5,Other
couscous,6.5556,7.3683,0.1117052975911571,0.5565,513.1600000000001,0.3,1.8803196462075356,-2.191891147074066,4.072210793281601,0.2264930540799246,-0.8994292365130049,1.1259222905929296,African,steam,expanded,A,False,43,41,-2,Heavy Main,3.425720419752924,24.05,Other
coxinha,4.3571,7.3626,0.3252279436113923,1.794,897.07,1.0,1.4718066984441045,-1.1232289775357287,2.595035675979833,-0.8469198101863233,0.3690156481123424,-1.2159354582986657,South American,deep_fry,expanded,E,False,273,261,-12,Heavy Main,2.5038125032465084,34.31,Other
creme_brulee,9.1606,7.324,0.2801526093771747,2.0055,778.2,0.8,2.214911678724271,-1.272420790799783,3.4873324695240537,1.4983786630922409,0.1012427528347487,1.3971359102574918,French,unknown,original,B,False,113,219,106,Heavy Main,1.6249978900152788,10.712,Other
crepe,8.3893,7.239,0.1703383946222554,1.1025,477.0,0.5,2.126957084340491,-1.7699682638630123,3.896925348203504,1.121793108300993,-0.5511155874221723,1.6729086957231656,French,unknown,original,A,False,62,92,30,Full Main,3.730954028148034,15.735,Other
croissant,6.8396,7.299,0.2528773599570321,1.4301,594.1,0.8,1.9227292503923008,-1.3748506510334464,3.297579901425747,0.3651554390931674,-0.0607876043601579,0.4259430434533254,French,unknown,original,C,False,156,188,32,Heavy Main,1.6033957918716282,12.05,Bread/Pastry
