dish_id,cuisine,H_original_mean,H_controlled_mean,E_composite,log_DEI,log_DEI_controlled,rank_original,rank_controlled,rank_shift,n_mentions
kimchi,Korean,7.177682727098465,7.055447519129689,0.0107893163244967,6.500219656400783,6.482998879871225,1.0,1.0,0,500
papaya_salad,Thai,7.1934932837486265,7.048395419800166,0.0108332800613693,6.49824072662393,6.477932386629726,2.0,2.0,0,500
coleslaw,American,6.703614482402801,6.725203334850971,0.013196413963922,6.230514518878259,6.233672316394863,3.0,3.0,0,500
thai_iced_tea,Thai,7.215509473085404,7.120428640765409,0.0243759548418201,5.690458872628042,5.677126015834207,4.0,4.0,0,500
raita,Indian,6.8586782135963436,6.855661508871094,0.0280594219823921,5.49899246238172,5.498505612422982,5.0,5.0,0,500
guacamole,Mexican,6.930391091108322,7.0807738062462,0.0347126588909858,5.29651066221946,5.318034045418592,7.0,6.0,-1,500
ca_phe_sua_da,Vietnamese,7.429808631658554,7.2797432014156005,0.0363340634140795,5.32052545038716,5.300095178713103,6.0,7.0,1,500
ceviche,Mexican,7.3008384318351744,7.207876763279306,0.039418546557507,5.221530173698543,5.208693271570169,8.0,8.0,0,500
gazpacho,Spanish,7.436058485031128,7.335193302925659,0.0402863263051759,5.21807623510148,5.204426929990411,9.0,9.0,0,500
tabbouleh,Mediterranean,7.3562949101924895,7.190154880149235,0.0422978507033765,5.158535311757774,5.135731717566612,10.0,10.0,0,500
fresh_spring_roll,Vietnamese,7.119387711763382,7.1170581477144115,0.0531295222848464,4.897789796120436,4.897516988538803,11.0,11.0,0,500
caesar_salad,Other,6.746965309858322,6.865239156880186,0.0525168062162769,4.855720003851538,4.87309291794687,12.0,12.0,0,500
onigiri,Japanese,7.0846805474758145,7.0040096336199325,0.0556931760085771,4.845877526007914,4.83438044273338,13.0,13.0,0,500
gelato,Italian,7.564455893039703,7.344839947366523,0.0648149325917145,4.759619411737459,4.730217279637568,14.0,14.0,0,500
sashimi,Japanese,7.111825874567032,7.096299337728276,0.0629854347994419,4.726635271191234,4.724425201106246,15.0,15.0,0,500
sushi,Japanese,6.973915680646896,7.0512780947017,0.0640243446175479,4.690680831554638,4.701700773722915,16.0,16.0,0,500
chicken_salad,Other,6.953136897325516,7.151685808297263,0.0681619356522414,4.625042219327415,4.653217104509564,17.0,17.0,0,500
club_sandwich,American,6.949709343194962,7.150486867370425,0.0745333152011155,4.535250729222659,4.563689517372149,19.0,18.0,-1,500
panna_cotta,Italian,7.57038509607315,7.340493956354856,0.0769170517835727,4.589220754792154,4.558433824211024,18.0,19.0,1,500
ice_cream,Other,7.337649823665619,7.295048227102226,0.0838113240686453,4.472253474472635,4.46638294147287,20.0,20.0,0,500
hummus,Mediterranean,7.34693403673172,7.236732935671233,0.0956000970923752,4.341873509952818,4.326751295888378,21.0,21.0,0,500
tiramisu,Italian,7.448100246667862,7.360190085791566,0.1078809838214075,4.234672201136602,4.222812420442967,22.0,22.0,0,500
miso_soup,Japanese,6.964753091573715,6.962486811162873,0.1090529409366971,4.156819425230264,4.156458528982653,23.0,23.0,0,500
caprese,Italian,7.135709910869599,7.076389800448836,0.1118488797934876,4.155759001631012,4.147370468817126,24.0,24.0,0,500
edamame,Japanese,7.174163466215133,7.171093896329874,0.122958281541028,4.066373534715665,4.065968364316519,25.0,25.0,0,500
minestrone,Italian,6.638289823532104,6.749474720528817,0.1196048159520431,4.016372884416538,4.033026853794208,26.0,26.0,0,500
soup,Other,6.73338640165329,6.784415226582415,0.1268497208512982,3.971773003122844,3.9793802969248326,29.0,27.0,-2,500
ratatouille,French,7.241654368877411,7.126469118048163,0.1346233349410699,3.985171923051277,3.969090408614652,27.0,28.0,1,500
tamale,Mexican,7.246568392515183,7.218029071091842,0.1372645889738489,3.966432499477112,3.962426843145142,30.0,29.0,-1,500
hot_and_sour_soup,Chinese,6.7260684015750885,7.009222049969967,0.1340866392818403,3.915249739475556,3.956495843865806,34.0,30.0,-4,500
xiao_long_bao,Chinese,7.102329231262207,7.045776670794895,0.1355547936033021,3.9587557740869945,3.9508077230979053,31.0,31.0,0,500
kimbap,Korean,7.30718487803706,7.07935861370451,0.1364470620417334,3.980651356259415,3.949001875767651,28.0,32.0,4,394
penne_arrabbiata,Italian,7.216155181894648,7.153572436808283,0.1413938119152791,3.932507072213009,3.9238181628909925,32.0,33.0,1,193
dolma,Mediterranean,7.406593370199204,7.286863521391796,0.1463439103506557,3.924221375917714,3.9078690863464547,33.0,34.0,1,500
congee,Chinese,6.983513193845749,7.058448352427255,0.1429436030199488,3.888926929525424,3.8995303582286325,35.0,35.0,0,500
udon,Japanese,6.9405572681427,6.958320127006509,0.1444559831100882,3.872226289346816,3.8747185171411447,37.0,36.0,-1,500
dim_sum,Chinese,6.977454904556274,7.156361640583833,0.1486246479702183,3.848950317508264,3.8743329936149213,40.0,37.0,-3,500
scallion_pancake,Chinese,6.964431890964508,6.926931463394839,0.145579254449721,3.867788658452179,3.8624515614125716,38.0,38.0,0,500
gnocchi,Italian,7.210735423088074,7.077007431917491,0.1493656341086219,3.876965696724799,3.8582091980341127,36.0,39.0,3,500
takoyaki,Japanese,7.143663384199143,7.012696036913563,0.1512882831212846,3.854840946127024,3.83629032836399,39.0,40.0,1,500
mango_sticky_rice,Thai,7.382435421943665,7.257235834783507,0.1575942646055001,3.846776098925454,3.829730511644316,41.0,41.0,0,500
dumplings,Chinese,7.079741397857666,7.074032091510732,0.1552253181381092,3.820151459910101,3.819308179521256,45.0,42.0,-3,500
tom_yum,Thai,7.086130287885666,7.020297567646959,0.1541886022669634,3.827699742287696,3.818384341537464,42.0,43.0,1,500
dal,Indian,6.929083550214767,6.857035203199602,0.1513163041255206,3.824098406390801,3.813658065941504,44.0,44.0,0,500
tteokbokki,Korean,6.905516568422318,6.790737102713696,0.1505269670921717,3.826003626475735,3.809172520287335,43.0,45.0,2,500
dosa,Indian,6.871645079374313,6.8967363877096775,0.1613769949862088,3.751467252149477,3.755060379888512,47.0,46.0,-1,500
sundubu_jjigae,Korean,7.118769274864878,7.085757812150921,0.1660415503417002,3.7582844848047112,3.7536040461835563,46.0,47.0,1,280
crepe,French,7.23927464723587,7.157842492370906,0.1703383946222554,3.749451339174017,3.73817687154604,48.0,48.0,0,500
pancake,American,7.161932743549347,7.207537144208721,0.1740145033925502,3.717405901986755,3.723743934477252,49.0,49.0,0,500
waffle,American,7.265546613931656,7.2740508494801395,0.1785825277098203,3.705910378296673,3.7070177816181937,52.0,50.0,-2,500
dan_dan_noodles,Chinese,7.242503416776657,7.187128075888014,0.1768632843021446,3.712413735152621,3.704669908760626,50.0,51.0,1,500
wonton_soup,Chinese,6.753461321592331,6.926943785259224,0.1715262451683963,3.673005841625337,3.6984376947318447,55.0,52.0,-3,500
elote,Mexican,7.372278378486634,7.264129196144089,0.1805572994317562,3.709396143017472,3.6946555301635096,51.0,53.0,2,500
chana_masala,Indian,7.131082696199417,7.09634324065305,0.1795333304373007,3.681845880449806,3.6769740182463,54.0,54.0,0,500
pozole,Mexican,7.237013613700866,7.169288106111677,0.1813985581478384,3.686265445685047,3.676865051632687,53.0,55.0,2,500
kimchi_jjigae,Korean,6.817320955766214,6.809193427784215,0.1738305685587496,3.66909369046008,3.667947871840777,57.0,56.0,-1,222
risotto,Italian,7.0815280063152315,7.001040361678254,0.1798937436216193,3.672945269298309,3.661447676717485,56.0,57.0,1,500
tom_kha,Thai,7.207190975427627,7.146926808931732,0.1858816088936304,3.657698095195142,3.6493277666283546,58.0,58.0,0,500
grilled_cheese,American,7.194328895092011,7.236090066465586,0.1882054209607936,3.643468593264111,3.649302262442614,59.0,59.0,0,500
tapas,Spanish,7.397435901165008,7.307889464534254,0.1942673219562087,3.639594632796097,3.6274746333227528,60.0,60.0,0,500
ravioli,Italian,7.221642953634262,7.238652141352956,0.1935701450266944,3.619247248459304,3.6215503463487755,61.0,61.0,0,500
okonomiyaki,Japanese,7.215562420119025,7.152961249882235,0.1942506282035568,3.614906838504788,3.606132487532151,62.0,62.0,0,377
clam_chowder,American,6.857696507453919,6.952326869489658,0.1957745939328879,3.556207166540037,3.5698677174079574,65.0,63.0,-2,500
lobster_roll,American,7.177135761499405,7.068807786165582,0.1997214767272574,3.5817129678371287,3.566523335115609,63.0,64.0,1,500
ramen,Japanese,6.941901822805405,6.857276314996461,0.1942964691225439,3.5759600125012225,3.563680419328462,64.0,65.0,1,500
lo_mein,Chinese,6.505016119241715,6.84983609764975,0.1958151798842702,3.5031551363564706,3.554808749029471,69.0,66.0,-3,500
palak_paneer,Indian,7.230944011926651,7.229784707848857,0.2075051881169707,3.550976275843415,3.550808194763646,66.0,67.0,1,500
pasta_carbonara,Italian,7.11599924993515,7.092049097711911,0.20538029673412,3.545237682211284,3.541866223566916,67.0,68.0,1,500
chow_mein,Chinese,6.050800094127655,6.484232759010205,0.19426553805153,3.438752850604325,3.507902803634699,78.0,69.0,-9,500
naan,Indian,7.20288468003273,7.125473537284612,0.2138116130018896,3.517157570645899,3.506336150058207,68.0,70.0,2,500
fried_rice,Chinese,6.659910928010941,6.799808587316541,0.2050187887838639,3.480773135991656,3.5015481143011926,72.0,71.0,-1,500
bruschetta,Italian,7.30421360039711,7.239269911063119,0.2200736836601747,3.502215006269477,3.4933132232762567,70.0,72.0,2,500
mapo_tofu,Chinese,6.878624212741852,6.942215702663903,0.2133064982371322,3.473498481266013,3.482646177799991,73.0,73.0,0,500
baba_ganoush,Mediterranean,7.494730348825454,7.275756781742417,0.2283327510889237,3.4911874109213503,3.4614991119958978,71.0,74.0,3,500
yakitori,Japanese,6.842002369880676,6.923030289364149,0.2192980503856408,3.440403600323582,3.4521770906334766,77.0,75.0,-2,500
pita,Mediterranean,7.041780240535736,6.987013047268949,0.2214726334827755,3.4593484687306755,3.45150939492991,75.0,76.0,1,500
larb,Thai,7.071301666736603,6.867733585821394,0.2198598697019789,3.4707668040945663,3.4415990431061294,74.0,77.0,3,500
escargot,French,7.1849992415905,7.091624231006611,0.22905787543792,3.445776095720072,3.4326949780856495,76.0,78.0,2,500
vindaloo,Indian,7.32528520822525,7.2683723369377855,0.2360593776690798,3.434965060212993,3.4272042841597976,79.0,79.0,0,500
quesadilla,Mexican,6.777314955711365,6.950377654484691,0.2259953170821839,3.4007755269538,3.426036997675003,82.0,80.0,-2,500
fajita,Mexican,6.671004239320755,6.982560812513673,0.2319769200463485,3.3588871685507664,3.4045331228977984,89.0,81.0,-8,500
satay,Thai,7.066363778352738,7.064098264248354,0.2351079257839079,3.403005160546983,3.402735985382371,81.0,82.0,1,500
chicken_sandwich,American,6.743452202796936,6.916321575520139,0.2305453291832126,3.375812709739652,3.4011918440552384,85.0,83.0,-2,500
tikka_masala,Indian,7.079414768695831,7.006297095433949,0.2352417448800396,3.4042742467637623,3.3939509217048744,80.0,84.0,4,500
butter_chicken,Indian,7.296981916666031,7.248845318766262,0.2453824918883798,3.392400399232125,3.3857792842539216,83.0,85.0,2,500
cornbread,American,6.978018912315369,6.960919017055009,0.2367189718162237,3.3836439571238817,3.3811931226690772,84.0,86.0,2,500
korma,Indian,7.242839961528778,7.179763873958311,0.2480675328093393,3.374089745384828,3.365320756055661,86.0,87.0,1,500
pad_see_ew,Thai,6.88666158246994,6.812024904977748,0.2391870645940731,3.360144912714453,3.349198754990534,88.0,88.0,0,500
samosa,Indian,7.343216485738754,7.293022692395296,0.2564875522755967,3.354422623158337,3.3475932402170794,90.0,89.0,-1,500
croissant,French,7.299064743518829,7.187608176953988,0.2528773599570321,3.3625880035029416,3.347209107750296,87.0,90.0,3,500
pad_thai,Thai,6.77723597407341,6.774057913707167,0.2390955383002528,3.344426591238025,3.3439923688536477,91.0,91.0,0,500
kung_pao_chicken,Chinese,6.488988980531692,6.787020685173268,0.2407579913425084,3.294071470963158,3.3389751008049564,97.0,92.0,-5,500
green_curry,Thai,7.287345746040344,7.217902343498866,0.2611478475643975,3.32876050496478,3.3192329428267184,93.0,93.0,0,500
banh_mi,Vietnamese,7.249215884208679,7.076049847592691,0.2565416685710571,3.3413277053142947,3.317179997868717,92.0,94.0,2,500
french_fries,American,6.585307281255722,6.784168878323916,0.247277363637544,3.2820389778567147,3.3118364344620916,99.0,95.0,-4,500
red_curry,Thai,7.176237165927887,7.108989992648599,0.2608840882697989,3.314421201306305,3.3050392557944637,95.0,96.0,1,500
paella,Spanish,7.110911329269409,7.003962190575753,0.2576096497632017,3.317952706094061,3.302785841340115,94.0,97.0,3,500
bun_cha,Vietnamese,7.232413867803721,7.188102168767401,0.2664993860833531,3.3008989620959595,3.294810521622625,96.0,98.0,2,130
donburi,Japanese,6.081436806201935,6.286673836167704,0.2347841626076021,3.254257800004935,3.2875207728331595,103.0,99.0,-4,500
spanakopita,Mediterranean,7.365290198564529,7.292921317147794,0.2741309781639822,3.290888314228732,3.2810534594396867,98.0,100.0,2,500
nachos,Mexican,6.8230120642185215,6.982040489367787,0.2693445432591771,3.232063146816772,3.2551050967569033,106.0,101.0,-5,500
creme_brulee,French,7.324001138687134,7.252555802594654,0.2801526093771747,3.263577417612048,3.25377472204002,102.0,102.0,0,500
baklava,Mediterranean,7.480218629837037,7.266792764656884,0.28131109410514,3.280526917554556,3.251609159478977,100.0,103.0,3,500
samgyeopsal,Korean,7.223038626670838,7.091206519528977,0.274564609930532,3.2698390516440545,3.251424170648675,101.0,104.0,3,500
french_onion_soup,French,7.064659948348999,7.152228108345939,0.2794902450794066,3.229940904458455,3.242211820028235,108.0,105.0,-3,500
patatas_bravas,Spanish,7.309500757932663,7.169178987645142,0.2824044679241891,3.253658225988599,3.234206093677477,104.0,106.0,2,500
burrito,Mexican,6.82708843255043,7.011227479317662,0.276301431930006,3.207148202983316,3.2337756543043574,111.0,107.0,-4,500
tandoori_chicken,Indian,7.061005901098252,7.040034352314273,0.2790571517430138,3.230925357715805,3.2279517229297374,107.0,108.0,1,500
japchae,Korean,7.317705533981323,7.155074348836084,0.2850385521038225,3.245467903919008,3.2229526414484786,105.0,109.0,4,500
paneer_tikka,Indian,7.10038446187973,6.978086263988208,0.2850173554547919,3.2152999882822595,3.1979799092029255,110.0,110.0,0,500
pizza_margherita,Italian,7.12551219201088,7.146411880629139,0.2942943620278918,3.186924848337543,3.189785177021507,112.0,111.0,-1,500
spring_rolls,Chinese,6.8453974871635435,6.986371810536766,0.2903988081034614,3.1600185591072547,3.180461467570667,116.0,112.0,-4,500
souffle,French,7.419460524082184,7.1490659928771025,0.2974611158696626,3.2165160427053348,3.179453483304134,109.0,113.0,4,500
com_tam,Vietnamese,6.941465224742889,6.948833201051367,0.2925279261245002,3.166640999295103,3.1677689036793257,114.0,114.0,0,500
teriyaki,Japanese,6.712053010463714,6.890512622734255,0.2907920050126571,3.139043995944516,3.1652925100149574,119.0,115.0,-4,500
enchilada,Mexican,6.829557194948197,6.952426751940473,0.2953211986902908,3.141016379428124,3.1587824774165165,118.0,116.0,-2,500
falafel,Mediterranean,7.341277606010437,7.163499033103429,0.3067878357769481,3.175073932109877,3.1505974123570732,113.0,117.0,4,500
mac_and_cheese,American,6.986111844539642,6.989196151635494,0.3013898684318615,3.143258754763064,3.143716158245139,117.0,118.0,1,500
shawarma,Mediterranean,7.1584102356433865,6.9893185055986455,0.3031312637237955,3.1618199660166395,3.137972409543006,115.0,119.0,4,500
churros_spanish,Spanish,7.322710609436035,7.354085436554217,0.3234748223106578,3.119654077173192,3.1238899976042798,121.0,120.0,-1,20
churro,Mexican,7.396128391504288,7.3133942780106285,0.3234748223106578,3.1295733106191377,3.1183414966036844,120.0,121.0,1,500
pizza,Italian,6.83827793765068,7.043035649740103,0.3198078040607087,3.0625303671555866,3.0920743534154913,123.0,122.0,-1,500
char_siu,Chinese,7.016940265178681,7.052358454552607,0.3230840935392318,3.078178414400557,3.083204731571695,122.0,123.0,1,500
chile_relleno,Mexican,6.785895975828171,6.855988453107097,0.3181617528849141,3.060057035015254,3.070317865744694,124.0,124.0,0,500
fish_and_chips,Other,6.800981203317642,6.940089667127761,0.3253698736066217,3.039862331323876,3.0601073659010325,126.0,125.0,-1,500
tempura,Japanese,6.976093923807144,7.010076188352379,0.3320592974999239,3.044917405693164,3.049790288597799,125.0,126.0,1,500
biryani,Indian,6.7893765993118285,6.7941008420613,0.3345396378994281,3.010303562801858,3.0110546199220822,128.0,127.0,-1,500
quiche,French,7.306136783838272,7.137032788987745,0.3547504593313247,3.0250365965130257,3.001637782343861,127.0,128.0,1,500
brownie,Other,7.362209852695465,7.328874966486235,0.3645830754384144,3.0053324723044224,3.0008228580402054,129.0,129.0,0,500
peking_duck,Chinese,7.069913066387176,7.175710981269975,0.3637668649375477,2.967102577390219,2.981943945684386,130.0,130.0,0,500
chow_fun,Chinese,7.170736167669296,7.301167441144678,0.372484261208624,2.957605608744521,2.9755947526565145,131.0,131.0,0,500
general_tso,Chinese,6.648940572500229,6.947175554803181,0.3714217975765348,2.884883408908441,2.928752123471651,135.0,132.0,-3,500
orange_chicken,Chinese,6.438323560714721,6.831611180686897,0.3702907257974551,2.8556847693582617,2.915027379856429,142.0,133.0,-9,500
sweet_and_sour,Chinese,6.415947596073151,6.753311879290402,0.3685525819004364,2.8569667563720684,2.9082049191473,141.0,134.0,-7,500
buffalo_wings,American,6.761100242853165,7.037297459444066,0.386292331318037,2.8623316692384835,2.902385073996026,138.0,135.0,-3,500
katsu,Japanese,6.9729694623947145,6.946219768674389,0.3813776644673086,2.906010697732519,2.9021627429168477,132.0,136.0,4,500
pasta_bolognese,Italian,7.057850429296494,6.951647295405797,0.3871269799507092,2.9031642514551943,2.887981178615493,133.0,137.0,4,500
fried_chicken,American,7.047846906423569,7.054449193027024,0.393529317972158,2.885343596886804,2.886258217232296,134.0,138.0,4,500
pho,Vietnamese,6.973536778926849,6.980751870073016,0.395002904915845,2.8710511081441874,2.87201878863937,137.0,139.0,2,500
cheesecake,Other,7.2683516690731045,7.319812734853907,0.4162269009143125,2.860005883060168,2.867109477501989,140.0,140.0,0,500
korean_fried_chicken,Korean,6.228400840997696,6.867159228982528,0.3907836556182036,2.7686564365406108,2.8663516994997367,148.0,141.0,-7,500
gyro,Mediterranean,7.1580102360248565,7.091912828620655,0.4052126119464612,2.8715739941977647,2.8622984784817014,136.0,142.0,6,500
bibimbap,Korean,7.176191483974457,7.06019494934855,0.4103771234250521,2.861420853577409,2.845151393167001,139.0,143.0,4,500
taco,Mexican,7.050286285638809,7.175930957260292,0.418539769036379,2.824010982825598,2.8417158693710913,145.0,144.0,-1,500
pulled_pork,American,6.971712380170822,6.993043521816693,0.4097443133224298,2.8341240675200154,2.837137812190615,143.0,145.0,2,500
kebab,Mediterranean,7.285519941329956,7.1375706057025665,0.4289247527784806,2.8324284754738884,2.81184624403824,144.0,146.0,2,500
coq_au_vin,French,7.166124363400242,7.073341931371611,0.433244547442996,2.805800554592473,2.7927859957834777,146.0,147.0,1,409
bun_bo_hue,Vietnamese,6.8833929083347325,6.734784060854796,0.4268114422342925,2.780467553971432,2.758698697669644,147.0,148.0,1,500
moussaka,Mediterranean,7.123813797950745,7.100025394708607,0.5167985075858745,2.62357157974356,2.6202005750765407,149.0,149.0,0,500
ribs,American,7.00398721909523,7.034032653433839,0.5441126977074214,2.555080303102137,2.559359064947844,150.0,150.0,0,500
hamburger,American,6.7116592979431156,6.913582550314234,0.5502933141427692,2.501200813632204,2.5307918066944506,152.0,151.0,-1,500
massaman_curry,Thai,7.312558967113495,7.2107725850859685,0.5748645506702768,2.5432744162748624,2.529196930200504,151.0,152.0,1,500
lasagna,Italian,6.88505160856247,6.889620486199603,0.5943961798471784,2.449554344685682,2.4502252141847767,153.0,153.0,0,500
bulgogi,Korean,7.375190054893493,7.2799031858863765,0.6615588732726678,2.4112522019569065,2.398273863209208,154.0,154.0,0,500
steak,American,6.761370492219925,6.882366114166604,0.7815011469219191,2.157709469639796,2.175501166295171,156.0,155.0,-1,500
beef_bourguignon,French,7.34375483538974,7.177690520532604,0.8163411367437777,2.196806604963821,2.1739006284419315,155.0,156.0,1,402
osso_buco,Italian,7.166162472009659,7.098580042987549,0.934,2.0376264596360567,2.0281736108536923,157.0,157.0,0,500
brisket,American,7.046026602268219,6.982093746665807,0.9792094431862688,1.9734698034127955,1.9643585589936159,158.0,158.0,0,500
