dish_id,H_mean,E_composite,log_DEI,rank_DEI,rank_invE,rank_shift,abs_rank_shift,cuisine,E_quartile
donburi,6.081,0.2347841626076021,3.254257800004935,103.0,82.0,21.0,21.0,Japanese,Q3
chow_mein,6.051,0.19426553805153,3.438752850604325,78.0,62.0,16.0,16.0,Chinese,Q2
orange_chicken,6.438,0.3702907257974551,2.8556847693582617,142.0,132.0,10.0,10.0,Chinese,Q4 (High E)
sweet_and_sour,6.416,0.3685525819004364,2.8569667563720684,141.0,131.0,10.0,10.0,Chinese,Q4 (High E)
korean_fried_chicken,6.228,0.3907836556182036,2.7686564365406108,148.0,138.0,10.0,10.0,Korean,Q4 (High E)
burrito,6.827,0.276301431930006,3.207148202983316,111.0,103.0,8.0,8.0,Mexican,Q3
french_fries,6.585,0.247277363637544,3.2820389778567147,99.0,91.0,8.0,8.0,American,Q3
fajita,6.671,0.2319769200463485,3.3588871685507664,89.0,81.0,8.0,8.0,Mexican,Q3
kung_pao_chicken,6.489,0.2407579913425084,3.294071470963158,97.0,89.0,8.0,8.0,Chinese,Q3
kimchi_jjigae,6.817,0.1738305685587496,3.66909369046008,57.0,50.0,7.0,7.0,Korean,Q2
baklava,7.48,0.28131109410514,3.280526917554556,100.0,107.0,-7.0,7.0,Mediterranean,Q3
baba_ganoush,7.495,0.2283327510889237,3.4911874109213503,71.0,78.0,-7.0,7.0,Mediterranean,Q2
butter_chicken,7.297,0.2453824918883798,3.392400399232125,83.0,90.0,-7.0,7.0,Indian,Q3
teriyaki,6.712,0.2907920050126571,3.1390439959445158,119.0,112.0,7.0,7.0,Japanese,Q3
souffle,7.419,0.2974611158696626,3.2165160427053348,109.0,116.0,-7.0,7.0,French,Q3
falafel,7.341,0.3067878357769481,3.175073932109877,113.0,119.0,-6.0,6.0,Mediterranean,Q4 (High E)
croissant,7.299,0.2528773599570321,3.3625880035029416,87.0,93.0,-6.0,6.0,French,Q3
hot_and_sour_soup,6.726,0.1340866392818403,3.915249739475556,34.0,28.0,6.0,6.0,Chinese,Q1 (Low E)
vindaloo,7.325,0.2360593776690798,3.434965060212993,79.0,85.0,-6.0,6.0,Indian,Q3
korma,7.243,0.2480675328093393,3.3740897453848278,86.0,92.0,-6.0,6.0,Indian,Q3
nachos,6.823,0.2693445432591771,3.232063146816772,106.0,100.0,6.0,6.0,Mexican,Q3
wonton_soup,6.753,0.1715262451683963,3.673005841625337,55.0,49.0,6.0,6.0,Chinese,Q2
chicken_sandwich,6.743,0.2305453291832126,3.375812709739652,85.0,80.0,5.0,5.0,American,Q3
fried_chicken,7.048,0.393529317972158,2.885343596886804,134.0,139.0,-5.0,5.0,American,Q4 (High E)
elote,7.372,0.1805572994317562,3.709396143017472,51.0,56.0,-5.0,5.0,Mexican,Q2
green_curry,7.287,0.2611478475643975,3.32876050496478,93.0,98.0,-5.0,5.0,Thai,Q3
japchae,7.318,0.2850385521038225,3.245467903919008,105.0,110.0,-5.0,5.0,Korean,Q3
quesadilla,6.777,0.2259953170821839,3.4007755269538,82.0,77.0,5.0,5.0,Mexican,Q2
spring_rolls,6.845,0.2903988081034614,3.1600185591072547,116.0,111.0,5.0,5.0,Chinese,Q3
bruschetta,7.304,0.2200736836601747,3.502215006269477,70.0,75.0,-5.0,5.0,Italian,Q2
gyro,7.158,0.4052126119464612,2.8715739941977647,136.0,141.0,-5.0,5.0,Mediterranean,Q4 (High E)
pasta_bolognese,7.058,0.3871269799507092,2.9031642514551943,133.0,137.0,-4.0,4.0,Italian,Q4 (High E)
samosa,7.343,0.2564875522755967,3.354422623158337,90.0,94.0,-4.0,4.0,Indian,Q3
pozole,7.237,0.1813985581478384,3.686265445685047,53.0,57.0,-4.0,4.0,Mexican,Q2
pad_thai,6.777,0.2390955383002528,3.344426591238025,91.0,87.0,4.0,4.0,Thai,Q3
palak_paneer,7.231,0.2075051881169707,3.550976275843415,66.0,70.0,-4.0,4.0,Indian,Q2
cheesecake,7.268,0.4162269009143125,2.860005883060168,140.0,144.0,-4.0,4.0,Other,Q4 (High E)
patatas_bravas,7.31,0.2824044679241891,3.253658225988599,104.0,108.0,-4.0,4.0,Spanish,Q3
fried_rice,6.66,0.2050187887838639,3.480773135991656,72.0,68.0,4.0,4.0,Chinese,Q2
dolma,7.407,0.1463439103506557,3.924221375917714,33.0,37.0,-4.0,4.0,Mediterranean,Q1 (Low E)
mango_sticky_rice,7.382,0.1575942646055001,3.846776098925454,41.0,45.0,-4.0,4.0,Thai,Q2
creme_brulee,7.324,0.2801526093771747,3.263577417612048,102.0,106.0,-4.0,4.0,French,Q3
naan,7.203,0.2138116130018896,3.517157570645899,68.0,72.0,-4.0,4.0,Indian,Q2
lobster_roll,7.177,0.1997214767272574,3.5817129678371287,63.0,67.0,-4.0,4.0,American,Q2
tikka_masala,7.079,0.2352417448800396,3.4042742467637623,80.0,84.0,-4.0,4.0,Indian,Q3
yakitori,6.842,0.2192980503856408,3.440403600323582,77.0,73.0,4.0,4.0,Japanese,Q2
chile_relleno,6.786,0.3181617528849141,3.060057035015254,124.0,120.0,4.0,4.0,Mexican,Q4 (High E)
bibimbap,7.176,0.4103771234250521,2.861420853577409,139.0,143.0,-4.0,4.0,Korean,Q4 (High E)
churro,7.396,0.3234748223106578,3.1295733106191377,120.0,123.5,-3.5,3.5,Mexican,Q4 (High E)
chow_fun,7.171,0.372484261208624,2.957605608744521,131.0,134.0,-3.0,3.0,Chinese,Q4 (High E)
banh_mi,7.249,0.2565416685710571,3.3413277053142947,92.0,95.0,-3.0,3.0,Vietnamese,Q3
bun_cha,7.232,0.2664993860833531,3.3008989620959595,96.0,99.0,-3.0,3.0,Vietnamese,Q3
kebab,7.286,0.4289247527784806,2.8324284754738884,144.0,147.0,-3.0,3.0,Mediterranean,Q4 (High E)
katsu,6.973,0.3813776644673086,2.906010697732519,132.0,135.0,-3.0,3.0,Japanese,Q4 (High E)
kimbap,7.307,0.1364470620417334,3.980651356259415,28.0,31.0,-3.0,3.0,Korean,Q1 (Low E)
lo_mein,6.505,0.1958151798842702,3.5031551363564706,69.0,66.0,3.0,3.0,Chinese,Q2
tandoori_chicken,7.061,0.2790571517430138,3.230925357715805,107.0,104.0,3.0,3.0,Indian,Q3
shawarma,7.158,0.3031312637237955,3.1618199660166395,115.0,118.0,-3.0,3.0,Mediterranean,Q3
spanakopita,7.365,0.2741309781639822,3.2908883142287317,98.0,101.0,-3.0,3.0,Mediterranean,Q3
tapas,7.397,0.1942673219562087,3.639594632796097,60.0,63.0,-3.0,3.0,Spanish,Q2
tteokbokki,6.906,0.1505269670921717,3.826003626475735,43.0,40.0,3.0,3.0,Korean,Q1 (Low E)
pho,6.974,0.395002904915845,2.8710511081441874,137.0,140.0,-3.0,3.0,Vietnamese,Q4 (High E)
gnocchi,7.211,0.1493656341086219,3.876965696724799,36.0,39.0,-3.0,3.0,Italian,Q1 (Low E)
french_onion_soup,7.065,0.2794902450794066,3.229940904458455,108.0,105.0,3.0,3.0,French,Q3
escargot,7.185,0.22905787543792,3.445776095720072,76.0,79.0,-3.0,3.0,French,Q2
enchilada,6.83,0.2953211986902908,3.141016379428124,118.0,115.0,3.0,3.0,Mexican,Q3
churros_spanish,7.323,0.3234748223106578,3.119654077173192,121.0,123.5,-2.5,2.5,Spanish,Q4 (High E)
pizza_margherita,7.126,0.2942943620278918,3.186924848337543,112.0,114.0,-2.0,2.0,Italian,Q3
pancake,7.162,0.1740145033925502,3.717405901986755,49.0,51.0,-2.0,2.0,American,Q2
pizza,6.838,0.3198078040607087,3.0625303671555866,123.0,121.0,2.0,2.0,Italian,Q4 (High E)
red_curry,7.176,0.2608840882697989,3.314421201306305,95.0,97.0,-2.0,2.0,Thai,Q3
satay,7.066,0.2351079257839079,3.403005160546983,81.0,83.0,-2.0,2.0,Thai,Q3
cornbread,6.978,0.2367189718162237,3.3836439571238817,84.0,86.0,-2.0,2.0,American,Q3
dan_dan_noodles,7.243,0.1768632843021446,3.712413735152621,50.0,52.0,-2.0,2.0,Chinese,Q2
gelato,7.564,0.0648149325917145,4.759619411737459,14.0,16.0,-2.0,2.0,Italian,Q1 (Low E)
dim_sum,6.977,0.1486246479702183,3.848950317508264,40.0,38.0,2.0,2.0,Chinese,Q1 (Low E)
buffalo_wings,6.761,0.386292331318037,2.8623316692384835,138.0,136.0,2.0,2.0,American,Q4 (High E)
paella,7.111,0.2576096497632017,3.317952706094061,94.0,96.0,-2.0,2.0,Spanish,Q3
udon,6.941,0.1444559831100882,3.872226289346816,37.0,35.0,2.0,2.0,Japanese,Q1 (Low E)
takoyaki,7.144,0.1512882831212846,3.854840946127024,39.0,41.0,-2.0,2.0,Japanese,Q2
tamale,7.247,0.1372645889738489,3.966432499477112,30.0,32.0,-2.0,2.0,Mexican,Q1 (Low E)
ratatouille,7.242,0.1346233349410699,3.985171923051277,27.0,29.0,-2.0,2.0,French,Q1 (Low E)
mapo_tofu,6.879,0.2133064982371322,3.473498481266013,73.0,71.0,2.0,2.0,Chinese,Q2
general_tso,6.649,0.3714217975765348,2.884883408908441,135.0,133.0,2.0,2.0,Chinese,Q4 (High E)
pasta_carbonara,7.116,0.20538029673412,3.545237682211284,67.0,69.0,-2.0,2.0,Italian,Q2
scallion_pancake,6.964,0.145579254449721,3.867788658452179,38.0,36.0,2.0,2.0,Chinese,Q1 (Low E)
soup,6.733,0.1268497208512982,3.971773003122844,29.0,27.0,2.0,2.0,Other,Q1 (Low E)
coq_au_vin,7.166,0.433244547442996,2.805800554592473,146.0,148.0,-2.0,2.0,French,Q4 (High E)
dal,6.929,0.1513163041255206,3.824098406390801,44.0,42.0,2.0,2.0,Indian,Q2
brownie,7.362,0.3645830754384144,3.0053324723044224,129.0,130.0,-1.0,1.0,Other,Q4 (High E)
caesar_salad,6.747,0.0525168062162769,4.855720003851538,12.0,11.0,1.0,1.0,Other,Q1 (Low E)
ca_phe_sua_da,7.43,0.0363340634140795,5.32052545038716,6.0,7.0,-1.0,1.0,Vietnamese,Q1 (Low E)
biryani,6.789,0.3345396378994281,3.010303562801858,128.0,127.0,1.0,1.0,Indian,Q4 (High E)
beef_bourguignon,7.344,0.8163411367437777,2.196806604963821,155.0,156.0,-1.0,1.0,French,Q4 (High E)
xiao_long_bao,7.102,0.1355547936033021,3.9587557740869945,31.0,30.0,1.0,1.0,Chinese,Q1 (Low E)
tempura,6.976,0.3320592974999239,3.044917405693164,125.0,126.0,-1.0,1.0,Japanese,Q4 (High E)
waffle,7.266,0.1785825277098203,3.705910378296673,52.0,53.0,-1.0,1.0,American,Q2
sushi,6.974,0.0640243446175479,4.690680831554638,16.0,15.0,1.0,1.0,Japanese,Q1 (Low E)
sundubu_jjigae,7.119,0.1660415503417002,3.7582844848047112,46.0,47.0,-1.0,1.0,Korean,Q2
pulled_pork,6.972,0.4097443133224298,2.8341240675200154,143.0,142.0,1.0,1.0,American,Q4 (High E)
quiche,7.306,0.3547504593313247,3.0250365965130257,127.0,128.0,-1.0,1.0,French,Q4 (High E)
samgyeopsal,7.223,0.274564609930532,3.2698390516440545,101.0,102.0,-1.0,1.0,Korean,Q3
bun_bo_hue,6.883,0.4268114422342925,2.780467553971432,147.0,146.0,1.0,1.0,Vietnamese,Q4 (High E)
peking_duck,7.07,0.3637668649375477,2.967102577390219,130.0,129.0,1.0,1.0,Chinese,Q4 (High E)
pita,7.042,0.2214726334827755,3.4593484687306755,75.0,76.0,-1.0,1.0,Mediterranean,Q2
tom_yum,7.086,0.1541886022669634,3.827699742287696,42.0,43.0,-1.0,1.0,Thai,Q2
steak,6.761,0.7815011469219191,2.157709469639796,156.0,155.0,1.0,1.0,American,Q4 (High E)
sashimi,7.112,0.0629854347994419,4.726635271191234,15.0,14.0,1.0,1.0,Japanese,Q1 (Low E)
ravioli,7.222,0.1935701450266944,3.619247248459304,61.0,60.0,1.0,1.0,Italian,Q2
risotto,7.082,0.1798937436216193,3.672945269298309,56.0,55.0,1.0,1.0,Italian,Q2
fish_and_chips,6.801,0.3253698736066217,3.039862331323876,126.0,125.0,1.0,1.0,Other,Q4 (High E)
edamame,7.174,0.122958281541028,4.066373534715665,25.0,26.0,-1.0,1.0,Japanese,Q1 (Low E)
dumplings,7.08,0.1552253181381092,3.820151459910101,45.0,44.0,1.0,1.0,Chinese,Q2
dosa,6.872,0.1613769949862088,3.751467252149477,47.0,46.0,1.0,1.0,Indian,Q2
fresh_spring_roll,7.119,0.0531295222848464,4.897789796120436,11.0,12.0,-1.0,1.0,Vietnamese,Q1 (Low E)
com_tam,6.941,0.2925279261245002,3.166640999295103,114.0,113.0,1.0,1.0,Vietnamese,Q3
club_sandwich,6.95,0.0745333152011155,4.535250729222659,19.0,18.0,1.0,1.0,American,Q1 (Low E)
congee,6.984,0.1429436030199488,3.888926929525424,35.0,34.0,1.0,1.0,Chinese,Q1 (Low E)
minestrone,6.638,0.1196048159520431,4.016372884416538,26.0,25.0,1.0,1.0,Italian,Q1 (Low E)
okonomiyaki,7.216,0.1942506282035568,3.614906838504788,62.0,61.0,1.0,1.0,Japanese,Q2
paneer_tikka,7.1,0.2850173554547919,3.2152999882822595,110.0,109.0,1.0,1.0,Indian,Q3
panna_cotta,7.57,0.0769170517835727,4.589220754792154,18.0,19.0,-1.0,1.0,Italian,Q1 (Low E)
penne_arrabbiata,7.216,0.1413938119152791,3.932507072213009,32.0,33.0,-1.0,1.0,Italian,Q1 (Low E)
massaman_curry,7.313,0.5748645506702768,2.5432744162748624,151.0,152.0,-1.0,1.0,Thai,Q4 (High E)
guacamole,6.93,0.0347126588909858,5.29651066221946,7.0,6.0,1.0,1.0,Mexican,Q1 (Low E)
hamburger,6.712,0.5502933141427692,2.5012008136322037,152.0,151.0,1.0,1.0,American,Q4 (High E)
clam_chowder,6.858,0.1957745939328879,3.556207166540037,65.0,65.0,0.0,0.0,American,Q2
chicken_salad,6.953,0.0681619356522414,4.625042219327415,17.0,17.0,0.0,0.0,Other,Q1 (Low E)
chana_masala,7.131,0.1795333304373007,3.681845880449806,54.0,54.0,0.0,0.0,Indian,Q2
char_siu,7.017,0.3230840935392318,3.078178414400557,122.0,122.0,0.0,0.0,Chinese,Q4 (High E)
caprese,7.136,0.1118488797934876,4.155759001631012,24.0,24.0,0.0,0.0,Italian,Q1 (Low E)
ceviche,7.301,0.039418546557507,5.221530173698543,8.0,8.0,0.0,0.0,Mexican,Q1 (Low E)
brisket,7.046,0.9792094431862688,1.9734698034127955,158.0,158.0,0.0,0.0,American,Q4 (High E)
bulgogi,7.375,0.6615588732726678,2.4112522019569065,154.0,154.0,0.0,0.0,Korean,Q4 (High E)
ice_cream,7.338,0.0838113240686453,4.472253474472635,20.0,20.0,0.0,0.0,Other,Q1 (Low E)
hummus,7.347,0.0956000970923752,4.341873509952818,21.0,21.0,0.0,0.0,Mediterranean,Q1 (Low E)
coleslaw,6.704,0.013196413963922,6.230514518878259,3.0,3.0,0.0,0.0,American,Q1 (Low E)
gazpacho,7.436,0.0402863263051759,5.21807623510148,9.0,9.0,0.0,0.0,Spanish,Q1 (Low E)
crepe,7.239,0.1703383946222554,3.749451339174017,48.0,48.0,0.0,0.0,French,Q2
larb,7.071,0.2198598697019789,3.4707668040945663,74.0,74.0,0.0,0.0,Thai,Q2
grilled_cheese,7.194,0.1882054209607936,3.643468593264111,59.0,59.0,0.0,0.0,American,Q2
kimchi,7.178,0.0107893163244967,6.500219656400783,1.0,1.0,0.0,0.0,Korean,Q1 (Low E)
onigiri,7.085,0.0556931760085771,4.845877526007914,13.0,13.0,0.0,0.0,Japanese,Q1 (Low E)
moussaka,7.124,0.5167985075858745,2.62357157974356,149.0,149.0,0.0,0.0,Mediterranean,Q4 (High E)
miso_soup,6.965,0.1090529409366971,4.156819425230264,23.0,23.0,0.0,0.0,Japanese,Q1 (Low E)
mac_and_cheese,6.986,0.3013898684318615,3.143258754763064,117.0,117.0,0.0,0.0,American,Q3
lasagna,6.885,0.5943961798471784,2.449554344685682,153.0,153.0,0.0,0.0,Italian,Q4 (High E)
pad_see_ew,6.887,0.2391870645940731,3.360144912714453,88.0,88.0,0.0,0.0,Thai,Q3
osso_buco,7.166,0.934,2.0376264596360567,157.0,157.0,0.0,0.0,Italian,Q4 (High E)
papaya_salad,7.193,0.0108332800613693,6.49824072662393,2.0,2.0,0.0,0.0,Thai,Q1 (Low E)
ribs,7.004,0.5441126977074214,2.555080303102137,150.0,150.0,0.0,0.0,American,Q4 (High E)
ramen,6.942,0.1942964691225439,3.5759600125012225,64.0,64.0,0.0,0.0,Japanese,Q2
raita,6.859,0.0280594219823921,5.49899246238172,5.0,5.0,0.0,0.0,Indian,Q1 (Low E)
taco,7.05,0.418539769036379,2.824010982825598,145.0,145.0,0.0,0.0,Mexican,Q4 (High E)
tabbouleh,7.356,0.0422978507033765,5.158535311757774,10.0,10.0,0.0,0.0,Mediterranean,Q1 (Low E)
tom_kha,7.207,0.1858816088936304,3.657698095195142,58.0,58.0,0.0,0.0,Thai,Q2
thai_iced_tea,7.216,0.0243759548418201,5.690458872628042,4.0,4.0,0.0,0.0,Thai,Q1 (Low E)
tiramisu,7.448,0.1078809838214075,4.234672201136602,22.0,22.0,0.0,0.0,Italian,Q1 (Low E)
